Energy (eV), initial Intensity (a.u.), Intensity (a.u.)
2.217770782658463169e+00,-5.999999999999996655e-03,7.433951543984768096e-03
2.215789285586648116e+00,-1.219999999999999904e-02,6.557126828731912882e-03
2.213811326144397462e+00,-1.960000000000000284e-02,5.792332270132229816e-03
2.211836894866397785e+00,-9.599999999999993955e-03,5.126566297633676321e-03
2.209865982321072231e+00,-2.199999999999997530e-03,4.548110855655900474e-03
2.207898579110430415e+00,2.340000000000000413e-02,4.046439281506683180e-03
2.205934675869920980e+00,2.679999999999999744e-02,3.612125396809173078e-03
2.203974263268280609e+00,4.779999999999999527e-02,3.236754815984327523e-03
2.202017332007387473e+00,4.239999999999999325e-02,2.912839279523820289e-03
2.200063872822114242e+00,5.299999999999999156e-02,2.633734642037474389e-03
2.198113876480181528e+00,5.600000000000000117e-02,2.393562985846188224e-03
2.196167333782012676e+00,6.479999999999999649e-02,2.187139190191144788e-03
2.194224235560588987e+00,7.340000000000000691e-02,2.009902163526085077e-03
2.192284572681305388e+00,6.779999999999999916e-02,1.857850841115156124e-03
2.190348336041828770e+00,7.720000000000001861e-02,1.727484961291968820e-03
2.188415516571952768e+00,5.719999999999999390e-02,1.615750560086226095e-03
2.186486105233460098e+00,5.279999999999999277e-02,1.519990064217528573e-03
2.184560093019978222e+00,4.059999999999999720e-02,1.437896815342801877e-03
2.182637470956839909e+00,5.899999999999999689e-02,1.367473822562754581e-03
2.180718230100946009e+00,6.039999999999998842e-02,1.306996514183027909e-03
2.178802361540624233e+00,5.899999999999998995e-02,1.254979242278169782e-03
2.176889856395491929e+00,5.719999999999999390e-02,1.210145283471860496e-03
2.174980705816319304e+00,4.099999999999999478e-02,1.171400075355816381e-03
2.173074900984893532e+00,2.819999999999999937e-02,1.137807429048782841e-03
2.171172433113881528e+00,1.040000000000000299e-02,1.108568463568817544e-03
2.169273293446695394e+00,-2.886579864025406873e-18,1.083003016083154257e-03
2.167377473257358744e+00,1.900000000000000647e-02,1.060533292938241811e-03
2.165484963850372147e+00,1.039999999999999779e-02,1.040669538986458472e-03
2.163595756560580785e+00,-1.200000000000000719e-02,1.022997516538518004e-03
2.161747528808772412e+00,-1.999999999999998307e-03,1.007468132709743881e-03
2.159864834265210476e+00,-2.120000000000000356e-02,9.931574558264832670e-04
