Energy (eV), initial Intensity (a.u.), Intensity (a.u.)
2.945438133922420931e+00,6.479999999999999649e-02,2.285767977126186568e-03
2.941874258600237102e+00,7.699999999999999900e-02,2.338157540845851173e-03
2.938318997180161762e+00,7.420000000000000207e-02,2.392218948148265838e-03
2.934702861335289903e+00,6.439999999999998503e-02,2.449133865261865235e-03
2.931164901664145006e+00,7.940000000000001223e-02,2.506787677145727415e-03
2.927566342430824253e+00,6.380000000000000948e-02,2.567521699909461243e-03
2.924045558516282561e+00,7.740000000000001046e-02,2.629082488889564716e-03
2.920464448055771545e+00,7.560000000000000053e-02,2.693973364896921387e-03
2.916960715125852754e+00,5.560000000000000359e-02,2.759790112473495607e-03
2.913396926836144818e+00,3.219999999999999252e-02,2.829212897935949773e-03
2.909910121324478460e+00,2.500000000000000139e-02,2.899673518447297860e-03
2.906431651978248709e+00,1.580000000000000154e-02,2.972590490354714947e-03
2.902893529356681324e+00,1.240000000000000130e-02,3.049582089747403420e-03
2.899431804896298370e+00,1.419999999999999561e-02,3.127807100842037655e-03
2.895910693850860529e+00,4.200000000000001475e-03,3.210463376318842613e-03
2.892465593655237033e+00,1.379999999999999977e-02,3.294506050838843549e-03
2.888961371790689903e+00,-5.600000000000000810e-03,3.383376714562319042e-03
2.885532776394480248e+00,6.200000000000005854e-03,3.473807731644645673e-03
2.882112309408702000e+00,2.100000000000000130e-02,3.567634267700594414e-03
2.878633113566719359e+00,2.819999999999999590e-02,3.666968912431209197e-03
2.875228974888121236e+00,2.039999999999999453e-02,3.768170371626540678e-03
2.871832877854463284e+00,1.199999999999999505e-02,3.873300663478642346e-03
2.868378440897524584e+00,1.440000000000000134e-02,3.984743534479829111e-03
