Energy (eV), initial Intensity (a.u.), Intensity (a.u.)
2.268652347323356189e+00,8.140000000000000013e-02,8.019330323077943079e-02
2.266578928127513048e+00,6.379999999999999560e-02,7.261074789636098870e-02
2.264467941342975355e+00,6.479999999999999649e-02,6.551043357557652380e-02
2.262402160229159520e+00,5.560000000000000359e-02,5.913681337017066830e-02
2.260340144734683143e+00,3.379999999999999671e-02,5.331091372616486579e-02
2.258281884572656661e+00,3.300000000000000155e-02,4.799905952426099243e-02
2.256227369493622348e+00,3.039999999999999994e-02,4.316789798112913995e-02
2.254176589285389554e+00,2.999999999999999889e-02,3.878465404734195848e-02
2.252088630584816453e+00,1.820000000000000090e-02,3.474203476668510926e-02
2.250045363817818611e+00,2.400000000000000050e-02,3.116708103406993016e-02
2.248005801305293705e+00,3.540000000000000091e-02,2.794665878283410232e-02
2.245969932983155282e+00,5.220000000000000334e-02,2.505222266534065309e-02
2.243937748823742417e+00,5.040000000000000036e-02,2.245659315167928757e-02
2.241909238835653628e+00,6.980000000000000093e-02,2.013402383852678015e-02
2.239884393063583889e+00,8.540000000000000369e-02,1.806024425027997690e-02
2.237822814964537610e+00,9.299999999999999933e-02,1.617768223894680210e-02
2.235805340689854148e+00,7.859999999999998932e-02,1.453854787729680180e-02
2.233791500783628425e+00,8.419999999999999707e-02,1.308398232880548032e-02
2.231781285434027318e+00,9.700000000000000289e-02,1.179567752311606009e-02
2.229774684864505030e+00,9.559999999999999054e-02,1.065673824112668179e-02
2.227771689333644556e+00,8.179999999999999771e-02,9.651631540963084149e-03
2.225772289135000026e+00,8.379999999999999949e-02,8.766128678650985870e-03
2.223776474596940389e+00,8.440000000000000280e-02,7.987241365800510501e-03
2.221784236082492647e+00,7.379999999999999061e-02,7.303154018426634420e-03
2.219755826859045378e+00,8.120000000000000828e-02,6.691942977254239540e-03
2.217770782658463169e+00,8.519999999999999796e-02,6.167742931577823058e-03
2.215789285586648116e+00,8.680000000000000215e-02,5.709059010491849412e-03
2.213811326144397462e+00,8.619999999999999885e-02,5.308073289591664842e-03
2.211836894866397785e+00,7.259999999999999787e-02,4.957785297906231944e-03
2.209865982321072231e+00,6.060000000000000109e-02,4.651944868742654941e-03
2.207898579110430415e+00,5.639999999999999875e-02,4.384987682340853871e-03
2.205934675869920980e+00,4.479999999999999954e-02,4.151973876738346628e-03
2.203974263268280609e+00,2.539999999999999897e-02,3.948529997245671559e-03
2.202017332007387473e+00,2.299999999999999961e-02,3.770794462020423711e-03
2.200063872822114242e+00,1.700000000000000122e-02,3.615366640920143412e-03
2.198113876480181528e+00,9.400000000000000369e-03,3.479259576463600984e-03
2.196167333782012676e+00,-2.000000000000000042e-03,3.359856318544720156e-03
2.194224235560588987e+00,-6.000000000000000125e-03,3.254869797645395125e-03
2.192284572681305388e+00,5.400000000000000286e-03,3.162306123748391887e-03
2.190348336041828770e+00,7.599999999999999985e-03,3.080431168999574545e-03
2.188415516571952768e+00,2.439999999999999808e-02,3.007740270451436486e-03
2.186486105233460098e+00,2.380000000000000171e-02,2.942930874003196924e-03
2.184560093019978222e+00,4.499999999999999833e-02,2.884877931036870530e-03
2.182637470956839909e+00,5.600000000000000117e-02,2.832611854392862085e-03
2.180718230100946009e+00,4.159999999999999809e-02,2.785298839444593118e-03
2.178802361540624233e+00,3.139999999999999736e-02,2.742223358404231870e-03
2.176889856395491929e+00,3.979999999999999510e-02,2.702772640972567978e-03
2.174980705816319304e+00,4.839999999999999858e-02,2.666422961456924815e-03
2.173074900984893532e+00,5.479999999999999455e-02,2.632727561015433398e-03
2.171172433113881528e+00,5.660000000000000447e-02,2.601306043302748817e-03
2.169273293446695394e+00,4.800000000000000100e-02,2.571835092115007642e-03
2.167377473257358744e+00,5.140000000000000124e-02,2.544040370342668875e-03
2.165484963850372147e+00,4.079999999999999599e-02,2.517689470376218049e-03
2.163595756560580785e+00,2.520000000000000018e-02,2.492585796857831309e-03
2.161747528808772412e+00,2.960000000000000131e-02,2.469034073445007613e-03
2.159864834265210476e+00,5.020000000000000157e-02,2.445934977809110025e-03
